,0
36,"Two days after the UN commander started complete work, UN Secretary-General said the withdrawal of US and Iraq's army from the unmanned region.
"
37,"According to the United Nations Commanders' Order, the UN said that the UN supervisors could reach the unmanned territory until June 23.
"
38,"After the withdrawal of the forces on both sides, he said that the UN supervisors will be responsible for monitoring the unmanned area.
"
39,"According to the proposal of the declaration of the ceasefire of the UN Security Council, two kilometers [2 km ] Iraq - the area of ​​Kewat border area has been declared as military unmanned area of ​​ten kilometers.
"
40,"Speaking about the Iraqi authorities accepting the timetable of the UN observers, the United Nations Observer commander told that similar sanction from the US military would be acceptable.
"
41,"Iraqi intelligence says that Iraq's refugees still have five thousand American soldiers.
"
42,"There will be 15 soldiers in the UN supervisor team.
"
43,"Meanwhile, the army of the United States , Britain , France, and the Netherlands has started to increase the security zone for the victims .
"
44,"The commander of the multinational army told the safe zone that would reach Iraq's al-Ahmadi city.
"
45,"So safe area will spread up to 50 miles from 50 miles to 50 miles.
"
46,"The commanders of the multinational army also told that the refugees were returning home permanently.
"
47,"Similarly, in Turkey, Turkey has criticized the Terak Kakka authorities who had gone to the refugee camp.
"
48,"Turkey British army three days after Turkey's Mediterranean - part is ordered to leave.
"
49,"The British authorities have denied Turkish allegations.
"
50,"A week later, a week after the international army's military and rescue comment came on the basis of humanitarian and friendship there was an incident.
"
51,"Iraq has said that it can take years to destroy chemical weapons.
"
52,"Due to the large amount of chemical and biological weapons from Iraq, it is said that it takes a long time.
"
53,"The League of Nations should take control of the camp refugees
"
54,"France asks for a security council meeting
"
55,"New York , December 20
"
56,"United Nations Secretary General Howard Pierce The Cooyar has told the United Nations that it will take control of the UN camp as soon as possible by the United States and the affiliated nations.
"
57,"UN Secretary-General Kayyar mentioned the refugee camps only a few days to come to the UN control.
"
58,"After the talks with Iraq's Iraqi government in Baghdad, rebellious rebels have said that the Iraqi government has fundamentally agreed to provide autonomy to the Kurds in northern Iraq.
"
59,"The news is mentioned in the US , France, and the UK providing relief material to the people in that area.
"
60,"Meanwhile, Iraqi Deputy Prime Minister Tariq Aziz asked the United States and allied nations to immediately stop the intervention of interrogation in Iraq's name in the name of Jewish refugees.
"
61,"Meanwhile, a US military official today said that the first day of the Jewish refugees started returning to the refugee camp, ready to be ready in the northern city of Jakho.
"
62,"Military officials have said that this weekly official leaders will be asked to take camps after requesting a camp to take more refugees.
"
63,"There is also a need to take some days to make arrangements for drinking water distribution and lantern etc.
"
64,"According to Tehran, the number of thousands of Iraqi refugees who had been seen by Iran in Iran were going to be killed twice a day.
"
65,"The Iranian authorities claim more than one million people and Shia refugees to Iran.
"
66,"To achieve the right democracy, the country's economic condition needs to be improved
"
67,"Itahari , December 10
"
68,"He said that in the meeting held at the Public Secondary School at the courtyard organized jointly organized in Dharan.
"
69,"The President said that the country does not get the right democracy in the country unless the economic situation is considered as economic reasons.
"
70,"In a recent meeting of Dharan, expressing his surprise that a speaker told that democracy was given to me, saying that Nepali authorities have brought democracy to Nepalese people.
"
71,"UML politician member Chandra Prakash Mainali has woken Nepalese people to protect the democracy coming from martyrdom and protect the country's glory.
"
72,"According to the last 30 years, the country has not been able to develop the face of the people by the face of the people.
"
73,"The CPN-UML said that the central councilor Bhawani Ghimire said that all nations should be developed and said that the Nepali people have the need for overall progress and change.
"
74,"Ramesh Prasad Khanal, another councilor, urged all the people to protect democracy.
"
75,"At the meeting, Akal Bahadur Mayango was held in the chair.
"
76,"He has said that he has been present in the assembly meeting held at the Mars Secondary School in Kartipur.
"
77,"Spreading on election campaign
"
78,"Rajbiraj , May 8
"
79,"In the five constituencies of the district, the electoral move has taken place in the constituency.
"
80,"Various party members and candidates of the candidate seem to be running in the field of preaching campaign, along with a bicycle rally project in Jeep , Tractor and Rickshaw .
"
81,"Most of the constituencies of the district , the house , the wall and the other public places are filled with various markers , tracts , ballot boxes , and party flags of various candidates .
"
82,"No area in the district. In 5, Nepal Communist Party ( Verma ) General Secretary Krishna Raj Verma has been nominated.
"
83,"O v . NO. 2015 was also a candidate in the general election.
"
84,"No area in the district. Nepal's Saddam Sadhavana Party's central president, Gajendranarayan Singh is Ummdwar.
"
85,"No area in the district. Region No. 5, Durganand Prasad Singh, who has been Ummadwar from the Nepali Congress since 5th . 32 was victorious.
"
86,"America wants to restore democracy in Haiti
"
87,"President Bush
"
88,"Washington, on October 18.
"
89,"President Bush informed the journalists that he was talking about the nature of the events of Kuwait and Haiti while talking to journalists before talking to the High Commission.
"
90,"The United States has suspended the total support of eight million US $ 8 million, criticizing the rebel revolt in Haiti last week and said Haiti will be coming next year.
"
91,"This is the first visit to President Bush, with Haiti's exile President Arishad.
"
92,"Due to the anti-American reaction made by the election arbitrarily, that Waitington had to be worried.
"
93,"Anxiety expressed the importance of the words of intellectuals
"
94,"Butwal, on September 8.
"
95,"He expressed concern that a decrease of twenty-five barsayata the importance of intellectual word not come saharamukhi intellectuals - have to be able to contribute to their own place to sit reached there vikasakolagi said.
"
96,"Former Prime Minister, Shri Bhattarai on the same occasion . B. Association of Organizations called "" Jeuban "" was released by Sangh Shankarnagar unit.
"
97,"Commerce Minister Gopalman Shrestha said that they have been responsible for the protection of the democracy as part of the intellectual class for the rehabilitation of democracy.
"
98,"Due to the fact that the Government does not do the task of relieving people from the poverty and loss of masses, they are urged to end up with all the communities of intellectuals including society.
"
99,"Elite Club President Dr. retaliation. At the function held at Ram Prasad Basyal, the secretary of the clan Raj Bahadur Singh and Socialist Bhaktak Bahadur Gyanwali also spoke on the importance of democracy.
"
100,"Nepal National Campus Association of Nepal National Conference concluded
"
101,"Bharatpur , August 4
"
102,"A proposal passed in the conference organized by Balkumari versatile campus in Chitwan, Narayanagar, has demanded that private campus should be made in a public campus.
"
103,"Meeting the President, Mr Joshi said ""the development of higher education participation and three. M. To get the structure of the actors in the campus area entitled"" Working papers were presented.
"
104,"Jhadabanta , outbreaks of blackjaw
"
105,"Bhadrapur ( Jhapa ), August 4
"
106,"According to the District Public Health Branch, 29 people have died in Jhapa district in various areas of Jhadabanta disease.
"
107,"This is due to the treatment of the disease starting from the beginning of the first week of AsaMa month, till treatment and till the treatment of adolescents from the child to the age of adolescence to 75 years old.
"
108,"So far, according to the Branch, more than 909 patients have been treated after treatment and treatment is being done from the health branch and related health care centers in the affected areas.
"
109,"Similarly, according to news from Biratnagar, Kajjwar's outbreak has spread in the southern region of Morang district in the past few years.
"
110,"Similarly, the public health branch of Morang said that the disease has been shown in one of the blood tests conducted by the 1990s.
"
111,"Agreement on the creation and implementation of liberal economies in Nepal
"
112,"Kathmandu
"
113,"The cooperation will be made in the formulation and implementation of the new policy and program based economy based on the leadership market.
"
114,"US Ambassador to Nepal, Julia Chang Blow and Secretary of State Shashin Narayan Shah signed the agreement on this.
"
115,"Through the project, private businessmen will influence the policy reform as well as enhance the ability to improve their contribution to the growth of goods and services.
"
116,"In addition , this project will be helpful in making policy building more appropriate in creating suitable environment for private businessmen in Nepal.
"
117,"The agreement was signed by the US Ambassador for Nepal, Julia Chang Bloch and Secretary of State Shashin Narayan Shah.
"
118,"The Nepal Dairy Development Institute will help in the management of institutional expenditure as well as helping the private and cooperative participation in the entire agriculture sector through the entire fund.
"
119,"On the occasion of a joint signing ceremony, the US Ambassador Blook said that the market economy was very powerful medium to improve the situation of the citizens of the nation.
"
120,"World Tourism Day organized with a variety of programs
"
121,"Cadmade , August 2
"
122,"World Tourism Development today was celebrated with diverse programs.
"
123,"123 foreign tourists came to Nepal in the flight of Kathmandu's first Royal Nepal Air Force Corporation of Delhi.
"
124,"Allow Iraq to take a paperwork paper molecule
"
125,"United Nations , September 11, December.
"
126,"The UN Security Council has approved the proposal presented by Iraq for the release of specialists who visit Iraq's chemical weapons.
"
127,"Supervisors have said that the decision of the Security Council has reduced the stress of growing stress between Baghdad and Washington.
"
128,"The Americans threatened to take action against Iraq if they did not allow Iraq's nuclear weapons to be examined.
"
129,"The charge was discriminated against the wages and facilities of opposition parties
"
130,"Kathmandu , August 8
"
131,"The remittance and convenience bill of the opposition parties have passed through the National Assembly and Representative Assembly.
"
132,"He said that the decision of the bill passed on the remuneration and convenience of the opposition leaders of both the members was insulting because they were insulted.
"
133,"Emperor movement by employees
"
134,"Representatives of five ministry absent in Satyagraha
"
135,"( Our correspondent )
"
136,"The civil servants have taken up the movement of indefinite movement since September.
"
137,"The employee has not announced it.
"
138,"But since this announcement, this self-proclaimed movement has been organized by three self-employed personnel from each unit of the employees' organization, and have shifted to the Ministry of General Administration.
"
139,"The organization has set up the charity organization of the Harihar Bhawan in the ministry.
"
140,"Therefore, Kalpatti Bandhan has been prohibited while the Chauris and other employees are employed.
"
141,"It is instructed to bury a blackboard from 10 to 5 o'clock in the office timeline, and where the placards are there, it is mandatory to reside.
"
142,"There is no restriction to stand and shout, and when the compound comes out of the compound door - it is prohibited to showcase the playcard or slogans.
"
143,"And when there came a disciplined satyagrahiharu - his department heads , "" a piece - a piece of staff Ministry of Public Administration shall sit.
"
144,"They will not be present at the department till 10.30 pm to go to the general administration ministry to gather them.
"
145,"The Employees' Organization will request their appointment at the Satyagraha spot and once again after the movement, all the employees will be asked to appear on the public spot form.
"
146,"This process of employee organization has been deprived of provision of the Service Services.
"
147,"Thus, untoldly, by using this black ball, untold garnish work has taken an incredible avatar.
"
148,"All the divisions of the division were present at Satyagraha on Saturn.
"
149,"However , representatives of foreign affairs , labor , landlord and commercial ministry were not present.
"
150,"Home Minister's resignation
"
151,"Regardless of the time of payment
"
152,"Kathmandu
"
153,"Honorable Duman Nath Dhangana of the Representative Assembly today started discussing the policies and programs of Mr. 5 in the morning, with the rules of opposition and ruling.
"
154,"CPN ( UML ) Kamde Gautam said that the house should be informed about public crime in the Arghakachchi district.
"
155,"Another MP, Hirayalal Shrestha, questioned that a citizen of Sri Lanka was sent to Nepal on behalf of Nepal on account of the murder of Rajiv Gandhi.
"
156,"The CPN ( UML ) leader Jagrit Prasad Niwal demanded that the police should be stopped immediately after accusing the police to blame human rights.
"
157,"Kamansingh Lama of Joint Janmargar said that the illegal trafficking cargo has been hazardous from Trichubhan Airport office of smuggling centers.
"
158,"Nepali Congress's Gopalji Jun Shah said that the report did not get the report even after delivering the report to the Mulik Commission for the last 24 hours.
"
159,"Consent to finding the solution to the problem
"
160,"Slovenia and Croatia's parliament announced that it would be free on September 25.
"
161,"Two days later, the rivalry between the Slovenian army and the federal army started, and as a result, about 80 people died.
"
162,"One dead in the bullet case
"
163,"The Home Minister also gave information about five people including Mian Mian, who were usually injured in the treatment of local people.
"
164,"House haughty
"
165,"( Our correspondent )
"
166,"The petition urged the members to stay in front of the house before the meeting began.
"
167,"But , he said.
"
168,"However , he told the speaker that he would give a fair time.
"
169,"It should be announced.
"
170,"After that, the Jubileurs started between the noble and the members.
"
171,"Prime Minister will give a speech.
"
172,"This destination is not a short time.
"
173,"Bhim Bahadur - but , you said it was a zero time with me.
"
174,"Honorable - The time will be given after the discussion on the royal address will be given.
"
175,"Members - Until then, there will be a different program.
"
176,"So , why not start now ?
"
177,"Honorable - The Prime Minister should start your reply speech.
"
178,"Member Drona Prasad Acharya - Principal ( showing the manual ) Why do not you give time to the time I give you a visit ?
"
179,"Honorable - There is no reason to stop scheduled schedule.
"
180,"Prime Minister start speeches
"
181,"The members of the two two had a rule.
"
182,"Honorable - No such rules.
"
183,"Therefore, the rule does not seem to be.
"
184,"I woke up
"
185,"Start protest against the employee
"
186,"Did not the Interim Cabinet accept a salary proposal ?
"
187,"( Our correspondent )
"
188,"Many Kalpotti barriers were the Public Service Commission , the General Auditing Airports, Adika employees.
"
189,"The employee organization has said that the performance of the black band which has been completed has been completely successful.
"
190,"The government did not work hard.
"
191,"Members and officials of the central unit having a program today - their offices folding are bound to settle.
"
192,"According to the Charter of the Commission formed by the Interim government , the demand for the service of the Solidarity and Facility , the Nepali Association of Consumer Organizations, will be dissolved.
"
193,"According to that agreement, there was a talk of 2047 evolution from the fall.
"
194,"However , tatakalina Minister Dr . According to Debendra Raj Pandey, the minister had refused to accept the proposed proposal by the Prime Minister Marshaljulum and Jhal Nath.
"
195,"Prime Minister Girija Anarala to discuss the dispute, spoke to UML President Mr. Manmohan Adhikari , Jhal Nath Khanal , Bharat Mohan Adhikari.
"
196,"Employees are not satisfied with this conversation.
"
197,"They are on the side to meet the Prime Minister and talk directly.
"
198,"But , it does not happen.
"
199,"Mr. Prem Dangal said that Pragya of Kathmandu talked about the aggravation of salaries.
"
200,"How can he be astonished by his self because he is involved in our fame ?
"
201,"The mass movement of mass movement was killed
"
202,"Kathmandu ,
"
203,"Discussion on the policy and program of the Government of India, mentioned in the box address from the box 5 in the meeting of the National Assembly today.
"
204,"Durgauttat Joshi of the Nepali Congress, who was offered a proposal for offering a gift to the Jaff of National Assembly.
"
205,"Employees struggle in second phase
"
206,"( Our correspondent )
"
207,"The Central Committee of the Employee Organization will be meeting today.
"
208,"The situation will be reviewed today in this meeting.
"
209,"The Central Committee is "" Standby "" .
"
210,"The Central Committee has been called "" Standing "" to discuss the government's desire to negotiate , demand for the organization .
"
211,"According to the officials of the organization, District Committees have been given the right to prosecute all District Committees from today and threatening the Satyagrahi in the district.
"
212,"The organization has threatened the prescribed program by threatening the various departments of Kathmandu.
"
213,"According to this, all employees in the public services commission and commercial department had banded black stripes.
"
214,"Employees from all the departments of the organization have been set up from September to September.
"
215,"From August and all the passengers of the valley in the Valley will stop black stripes.
"
216,"In the recent mood, the organization's program was successful in 73 districts.
"
217,"The law has unanimously maintained the integrity of the employees in the law ministry and by observing its sincerity honesty.
"
218,"Minister is now liberal.
"
219,"It has expressed concern about the support of employees of the demand from the international community on August 5.
"
220,"The employee organization will conduct additional programs on pre-scheduled program till May.
"
221,"The Central Committee meeting today will decide on what to do from May.
"
222,"Demand to abolish unequal treaty with India
"
223,"( Our correspondent )
"
224,"Yes - life cast a struggle to bring democracy, the current government does not care about democracy janamadata people.
"
225,"This paper has been said to be the beneficiary of the public.
"
226,"However , the work paper on this complaint was silent.
"
227,"He said that the workers should accept the demand of the employees to resolve the problems of the employees and said that the situation in pemmision is now in the form of nausea.
"
228,"The government said that the government should delay the property of the people who are paying billions of rupees per night.
"
229,"In the context of royal consolidation, 163 have called the name to speak.
"
230,"A combination of speaking order is kept by the members of the Congress and UML.
"
231,"The symbol of insight that gives prosperity to the poor people's door
"
232,"Kathmandu , Jan. 28
"
233,"Prime Minister Koirala said that the United Nations volunteer inter-government meeting was inaugurating a function here today evening.
"
234,"Two representatives of 60 countries are participating in a meeting organized in the first round held in Nepal.
"
235,"Addressing the meeting, Prime Minister said - Nepal's developing countries have expected more assistance in areas of health , sanitation , agriculture , rural development and environment protection.
"
236,"He said that the most important influence of those changes is to be a democratic movement and the restoration of fundamental human rights in all parts of the world.
"
237,"Prime Minister also expressed concern that Nepal has been proud of reaching the line of democracy based on pluralism theory.
"
238,"The current government of Nepal has given the highest priority to the development work conducted by the goal of raising the standard of life of the rural people.
"
239,"He said that the same is the heart of our development policy - it is also a pleasure to be the primary purpose of the United Nations Self-Service Program.
"
240,"Israel should not run away on date
"
241,"Jarouselam , December 28
"
242,"Israel has rejected the request of the United States to take part in the Middle Eastern Peace Talks starting from Wednesday.
"
243,"Israel's close proximity to the Israeli Prime Minister has told that Israel has kept the talks back to move talks after five days.
"
244,"The statement said that the explanation of the need for the United States to negotiate the scheduled date should not be satisfactory.
"
245,"The Prime Minister of the Secretariat said that the Israeli Prime Minister Yitzim Shamir told the Council that the decision to reject the talks in Wednesday after the American clarification was told to the Council.
"
246,"Though the source criticized Israeli absence in the meeting on Wednesday, it would have been clear that it would be less important.
"
247,"Israeli Prime Minister Ehud Goal said that Israel has asked the United States Foreign Ministry to assure the issues of bilateral relations.
"
248,"The spokesman also said that the United States has not enough to strengthen the position of the Israeli government.
"
249,"The invitations sent by the United States to Washington in the last round of talks have been accepted from Syria , Lebanon , Jordan and Palestine.
"
250,"The Israeli Foreign Ministry has said that some of the lower level delegation has been leaving for preparing for a meeting in Washington on Wednesday.
"
251,"In the same way, King of King Jordan King Naresh Hussein told that the peace process could be established if Israel left the Arab territory, addressing the session.
"
252,"Jordani King has also urged Israel to stop the settlement settlement program in the Arab landscape.
"
253,"Raising democracy derived from sacrifice
"
254,"General Minister and Parliamentarian Trishagi Narayan Choudhary accused of being working for political revenge without regard to the language and nature of Terai.
"
255,"All the religions and all languages ​​should have the same opportunity for the job in the office, saying that all the help of the struggle to bring good democracy.
"
256,"The elderly politician Koshi Prasad Shrivastav emphasized that the development of Terai should be the same and should be treated similar to government level.
"
257,"MP Shyamussander Gupta complained that the current value of the paddy had not been practical, alleging that the current government brought discrimination on the mountains and Terai people.
"
258,"So the spokesperson of the party and Parliamentarian Hridayesh Tripathi claimed that there is no satisfactory satisfaction in the present government.
"
259,"Parliamentarians Rameshwar Rai Yadav said that the party should be equal to all rights and said that the party was prepared to fight for protection of rights.
"
260,"The current government has been discouraging the constituency of the constituency, which was won by the Parliament of Nepal Sadhavwatna Party.
"
261,"Kaushala Mishra of the women's women's goodwill forum, Amrita Agahrani, and Nepal Student Sadhavana forum, said that the work should be done for the rights of Tarai people.
"
262,"The government has failed to control the value of daily consumables
"
263,"Biratnagar , August 28
"
264,"Earlier , a procession gathered at the party office of CPN ( UML ) in the local Panchali was organized by various slogans against the expensive, and they ruled the main routes of the city.
"
265,"Great peace in the state was completed
"
266,"Nepalese people will be voted again in the polling stations of awareness of their rights
"
267,"( Gorkhapatra newsletters )
"
268,"Kathmandu , May 20
"
269,"The Great Germans - 2048 Today, peace was completed in different places of the state.
"
270,"The Election Commission estimates that more than 60 percent of the polls have been cast in the election.
"
271,"A total of 25 people have been injured in different areas of different constituencies in the region, and none of them are also in critical condition.
"
272,"In today's election, 70 percent of the Jhapa district has declined more than 70 percent in other areas of Eastern Terai.
"
273,"According to the Raj Bhandari, two people were injured when the election officer was beaten up by the independent party in Belly Chattera in Saptariari.
"
274,"Voters will be voted in the next booth of 21 constituencies.
"
275,"Banepa district bhumlutara , RAUTAHAT Samanpur and mananapura , Mahottari parsapatti , RAMECHHAP timikotama general poisoning aftermath of the voting, said that the main spokesman.
"
276,"When the representative contacted the Chief Election Officer of various districts, the election would be held peacefully and the counting of votes would begin with all the votes received.
"
277,"Request for Gravavobav for president by Bush Bush
"
278,"Washington , May 6
"
279,"US President George W. Bush has called for the Soviet President Gorvichov to discuss arms control and economic issues.
"
280,"The White House spokesman said the United States and the Soviet Union - sanghabicako Summit, said the date is not fixed yet, said.
"
281,"Information agency adviser Will Harley of the United Nations has also informed that the Soviet President agreed to the proposal of President Bush to send experts to analyze the food distribution system.
"
282,"US Agriculture Ministry deputy Richard D . The committee formed under the leadership of the Cabinet will leave Moscow for the next Friday discussion.
"
283,"Will Harley's Saturday talk about telephone talks between President Bush and Gorvachov for about 15 hours.
"
284,"On the occasion of this conversation, the news about the US - Soviet relations between the two states was positive.
"
285,"In the Soviet News Committee, the Taj - Reagan telephone conversation, the two countries have expressed commitment to improve bilateral relations.
"
286,"In both the talks, the President hoped to help the Soviets to come forward from the upcoming Washington visit to end the dispute over Europe's nuclear weapons deduction.
"
287,"Meanwhile, according to news from London, the relations between the Soviet Union and the US were discussed, but it has said that the Cold War could be fed between the two nations.
"
288,"This is mentioned in the interview published in the "" Sande "" newspaper coming out of London .
"
289,"President Gorvichov admitted that there was a situation in his country, and it would be silly to accept that someone else would benefit from that situation.
"
290,"Fight between political activists : Some injured
"
291,"Banepa , May 12
"
292,"Nepali Congress workers and 6 other people were also injured when Jharkhand was also rocket.
"
293,"The Nepali Congress constituency office . The worker of 4 has also come to know that the incident occurred in the district headquarters.
"
294,"So, when attending the attention of the Chief District Officer in relation to the matter, the Election Commission in the constituency did not come here to tell the facts that the facts could not be told.
"
295,"There was no mention of local administration in the incident that no one was injured.
"
296,"The Opposition Party to work closely with the government
"
297,"Kathmandu , August 16
"
298,"Minister for Education and Culture Ramhari Joshi said that the first priority is to remove poverty from the lower level by highlighting the policy and program of Mr. 5.
"
299,"Playwid on student's future by Trivia
"
300,"The examination has not yet reached the examination
"
301,"( Social service provider )
"
302,"Kathmandu , August 16
"
303,"Students who have been rescued from Tribhuvan University have also easily made such confusion.
"
304,"The only universities of the world, including all the old and Sanskrit languages, are now getting rid of the problems ranging from recruitment to examinations.
"
305,"The workforce of the Nevis is being prepared by preparing for its convention started today.
"
306,"Due to this, postgraduate and certificate level examinations are also going on automatically.
"
307,"S harming . L . C . Even before the examination of the examination may be published, Trivi will not be able to submit a student certificate in the first year of the year.
"
308,"Due to this, it has to be done without work for a year given by the SLC examination.
"
309,"The private campus campuses have opened the recruitment.
"
310,"From this, students are eager to enter such a campus.
"
311,"However, those campuses, even if they are able to enter the program internally, they can not even complete the study faster than Trinity.
"
312,"It has to be forgotten to cross a level and in the third year to get access to another level.
"
313,"Harmony against the morality of the constitution
"
314,"NC government steps - steps the constitution , the rule - the law micdaicha
"
315,"( Social associator )
"
316,"Kathmandu , October 19
"
317,"The incident, which has been canceled by the Government of Sri 5, last week, has still made government decision in dispute.
"
318,"The new government did not have any new arrangements for judges of the last five years in the government of Sri Lanka, who would be automatically retired from October 1.
"
319,"According to Nepali law 2047, there is a clear provision that the court can not be removed unless the appellate court is formed.
"
320,"Load sessions will start after ten
"
321,"Request request not to load load before the festival
"
322,"( Social associator )
"
323,"Kathmandu , October 19
"
324,"Due to lack of daily consumables, Nepalese consumers should have to hit the load shedding on electricity supply, without starting the winter yam.
"
325,"According to the Nepal Electricity Authority, which was unable to supply electricity, regular demand was asked for the approval of the Ministry of Water Resources for load shedding.
"
326,"Due to this, since the beginning of winter yam this year, consumers have to have irregularities on electricity supply.
"
327,"According to them, the proposed load shedding should be applied not only for a few years, but permanently.
"
328,"Experts also say that Arun - 3, when it is completed in time, it should be considered to be the condition of load sessions only three to four years and then to reload the reload.
"
329,"Controversy has arisen on the other hand not to conduct Arun Scheme.
"
330,"Due to this, even if the plan is started, it is also possible that it can not be completed in time.
"
331,"The reduction in supply of power supply has led to the highest impact in the industrial sector.
"
332,"The emphasis on setting up an ideal society based on the principles
"
333,"( Social associator )
"
334,"Kathmandu , October 19
"
335,"Honorable Duman Nath Dhangana of the Representative Assembly has said that the Gandhi-based guidance of the great humanist world leader Mahatma Gandhi could reduce violence and crime in the world.
"
336,"Addressing the function organized by the Gandhya Jayanti celebration on the occasion of the 123th birth anniversary of Mahatma Gandhi, on February 9, he said that.
"
337,"Mr. Dhangana has said that Mahatma Gandhi has been an important place in world politics for the upliftment of exploited victims , and said that his peace can only be the world peace.
"
338,"NC, Mahindranarayan Fund , said that the path of truth , non-violence , ruthlessness and Satyagraha has beneficial for us.
"
339,"He said that the path of Gandhi's non-violent movements has succeeded in the Janata Movement of 046.
"
340,"Shri Nidhi said that he was a pious today in the world, as a devotees dedicated to the upliftment of victims and victims of the victims.
"
341,"Subhmukh Mahthan Thakur of the representative assembly expressed confidence that the path of Mahatma Gandhi would be developed through the path of truth , non-violence and hard work.
"
342,"Disruption in the development of excessive unnecessary spending in the administration
"
343,"Kathmandu , August 19.
"
344,"Engineer Ishwarchandra Sharma said that lack of coordination between development schemes and it has affected the development process.
"
345,"General Secretary Khadag KC said that technologies should be implemented in national development by operating according to changed circumstances in the discussion seminar at the chairperson of the Association of Association Rajendra Prasad Adhikari.
"
346,"Water power did not let go waste
"
347,"National consensus needs to be utilized in the country's development
"
348,"( Social associator )
"
349,"Kathmandu , August 17.
"
350,"'In the four natural resources of Nepal, the soil and forest has been used more and mines and water are being neglected so far. '
"
351,"To end this situation, financial assistance has been implanted in a financial perspective, with the help of Finland to establish diesel installed in the misconduct of Morang.
"
352,"On the other hand, the first Arun - 3 plan to be prepared is ready to be prepared in the same dispute.
"
353,"Donor nations imposing their interests , resources concerning the signing of the treaty in the past - sanjhautavata use of water resources due to Nepal jhaskinujasta work has always generated controversy.
"
354,"Meanwhile, a joint conference organized on the water resources was organized at Kathmandu Press Club's project.
"
355,"Participant in the seminar , the political leaders of the political parties , journalists and experts emphasized that there should be a far-reaching national policy on water resources.
"
356,"On the occasion, various speakers emphasized that national consensus should be maintained in the development of water resources and non-governmental sectors should also have the opportunity to utilize water resources in national interest.
"
357,"This is a serious impact on the economic development of the country , he said.
"
358,"Another speaker, RPP ( Chand ) of Pashupati Shamsher Jabal, pointed out the need for conducting electricity in public participation.
"
359,"Jhalanath Khanal of CPN ( UML ) has said that national consensus should be made on everything related to water resources.
"
360,"Nepali Congress's Gopalji Jang Shah said that the policy should be broken prioritizing prejudice and self-interest in the policy of water resources.
"
361,"Arjun Narsingh KC of the Nepalese Congress said that public participation should be made.
"
362,"Bhartesh Tripathi of Nepal Sadhavanaana Party said that the need to communicate with India by observing national interest in water resources.
"
363,"China can become the main oil supplier
"
364,"Pike , Asoka 17.
"
365,"China is now the main importer of crude oil imports and may be forced to buy a large amount of oil in the future.
"
366,"Aerospace optimization - According to a report prepared by the West American Research Center , the oil refinement industry in China is growing rapidly than oil removal.
"
367,"Lockdowns in campuses
"
368,"Kathmandu , 26 May.
"
369,"The Tribhuvan University, Hatama police station was deployed, but he did not interfere , the situation remained peaceful.
"
370,"According to the incident, according to the event, campus leaders camped with campus campus and students' joint mass departments today . M . M . Surrounded the administration.
"
371,"Vice-President Kedar Devak Mathama gave the delegation three days to meet the delegation but he did not come to the office.
"
372,"Students did not even after he was given the Vice-President during the time given . C . The lockout was done at the office and other administrative offices.
"
373,"The students have said that there are 1000 to 1500 students participating in mass dispensation.
"
374,"The police were also deployed in the office.
"
