,0
152,"Priorities of the Plan Because of the widespread demands on scarce resources, priorities must be established among the many possible activities.
"
153,"The planning process itself involves as determination of priorities which is affected by existing conditions and the necessity of emphasizing those activities which will most effectively stimulate further development. Agriculture plays a particularly important role in the initial stages of economic development.
"
154,"It provides the foods requirements for industrial workers, the raw materials for industry, and earns foreign exchange with which to by needed imports.
"
155,"Moreover, in Nepal, ninety per cent of the people are dependent upon agriculture for their live hood.
"
156,"An agricultural revolution is a necessary condition for rapid growth. To achieve this, not only should modern agricultural techniques be made available but the benefits of increased production should accrue to the cultivator.
"
157,"The Land Reform programme is designed to accomplish the latter goal. But this alone cannot improve the economic condition of the tiller.
"
158,"Production loans, cottage industry development, cooperative credit, marketing societies, and resettlement programmes are also needed.
"
159,"In the light of these considerations, the highest priority has been given to agricultural development.
"
160,"Agricultural development depends also on the improvement and expansion of marketing facilities.
"
161,"These facilities are also needed to integrate the social and economic activities of the nation.
"
162,"The Third Plan calls for expenditures of Rs 2,500 million which will increase total gross domestic product by 19 per cent.
"
163,"Plan expenditures by 1969-70 will be some nine per cent of gross domestic product as compared to an estimated six per cent in 1964-65.
"
164,"Total development expenditures are expected to rise from Rs 324 million in the last year of the Second Plan to Rs 600 million by 1969-70.1
"
165,"It should be noted that not all expenditures can be classified as investment.
"
166,"Some expenditure will meet recurring costs- e.g. allocations to education, publicly, broadcasting, malaria eradication, health, and various training programmes.
"
167,"A substantial proportion of Plan expenditures, however, will finance construction and the purchase of equipment.
"
168,"Some sixty per cent of Plan expenditures will be covered by foreign assistance.
"
169,"A detailed analysis of financial sources in given later, but the proportion of foreign assistance in the Third Plan will be lower than in the Second. Nepal’s absorptive capacity has been raising ray.
"
170,"This is seen from the expansion of expenditures over the Second Plan period and the fact that the Second Plan expenditures target has been achieved.
"
171,"The increasing availability of trained manpower, timely procurement and distribution of building materials, and the improvement of administrative efficiency are all important factors contributing to this result.
"
172,"If absorptive capacity rises further as expected, the Plan targets are clearly achievable. Public Sector Expenditures
"
173,"Out of the Rs 2.500 million to be spent during the Third Plan, the public, panchayat and private sector allocations are Rs 1,740, Rs 240 and Rs 520 million respectively.
"
174,"The public sector allocation includes development target expenditures, commodity assistance and equipment and supplies provided directly by aid - giving nations.2 In the past few years, development expenditures have been rising rapidly.
"
175,"In 1962-63, Rs 70 million were spent out of the development budget.
"
176,"By 1964-65, it rose to RS 235 million. In addition, there are direct expenditures by the aid-giving nations on aided projects.
"
177,"Spending capacity must be increased further in view of Nepal’s needs and aspirations.
"
178,"The Third Plan calls for public sector development expenditures of Rs 310 million in the first year rising to Rs 390 million by 1969- 70.
"
179,"In the light of past performances such an increase in absorptive capacity is feasible.
"
180,"Panchayat Sector Expenditures
"
181,"The mobilization of labour and other resources through the panchayat system is extremely important for social and economic development.
"
182,"As income levels rise over time, the panchayat capacity to mobilize resources will increase.
"
183,"In addition, greater authority will be given to the panchayat organizations in accord with the decentralization programme.
"
184,"Major responsibilities will be given to the zonal, district and gram panchayat.
"
185,"The compulsory savings scheme instituted under the land reform programme will be an important source of funds for the panchayats.
"
186,"The term “public sector” normally should also include what we have identified as the “ panchayat sector,” but since greater emphasis will be given to development activity conducted by district and local panchayats, this portion of the total has been identified separately. irrigation, education, building construction, roads, cottage industries and drinking water.
"
187,"Since the capital, technical skill, and foreign exchange requirements for these are activities relatively limited, they can be effectively handled by the panchayats.
"
188,"The Plan calls for Rs 520 million of investment expenditures in the private sector.
"
189,"In the absence of data, it is difficult to estimate the allocation to the several fields of the private sector.
"
190,"Most private investment presently takes place in agriculture, industry and housing. Since the government will be responsible for the major part of investment in other sectors such as transport, health and education, private investment expenditures have been estimated for industry and housing.
"
191,"These come to Rs 50 million for 1964-65.
"
192,"Two factors should be noted. First, these expenditures include funds to be mage available to the private sector by the Nepal Industrial Development Corporation, the Cooperative Bank, the Nepal Bank Ltd., and other government-financed credit institutions.
"
193,"These cover industry, agriculture, transport and housing.
"
194,"Cultivators’ investment on a self -help basis is not included. Some of the factors affecting industrial development are mentioned in the industrial policy section.
"
195,"Among these are the degrees of tariff protection, tax policy, import licensing, foreign exchange facilities, etc.
"
196,"These factors will be studied and improved as necessary to provide a suitable climate for long term growth and to facilities expansion.
"
197,"Allocation of Plan Expenditures
"
198,"The allocation of Plan expenditures, based upon the objective and priorities as discussed earlier, and presented in Table 5.
"
199,"The largest proportion of resources goes into development of transport, communication, and power.
"
200,"This takes 37 per cent of total Plan expenditures. Transport and power development is highly capital intensive and requires large amounts of funds.
"
201,"Thus, this sector is allocated more funds than agriculture, which is given top priority.
"
202,"Moreover, the amount of funds allocated to agriculture is not the full measure of expenditures which affect agricultural development.
"
203,"Development of industry, transport and power also benefit and stimulate agricultural expansion.
"
204,"Not all of the private sector investment in agriculture is included in the Plan.
"
205,"Construction and improvement of field channels and drainage facilities, terracing and clearance, undertaken by cultivators, are not included. All of these factors must be kept in mind in assessing the allocation.
"
206,"In the private sector, expenditures are allocated to industry, agriculture, transport and housing.
"
207,"Governmental resources have been concentrated more on expanding economic overhead in the form of transport, power and communication which will stimulate agriculture, industry, and transport in the private sector.
"
208,"Basis for Sectoral Expenditures
"
209,"The amounts allocated to each sector were determined on the basis of projects and activities to be undertaken by each department.
"
210,"These allocations do not necessarily cover the full cost of such activities.
"
211,"In some instances, the projects will extend into the next plan period.
"
212,"In other cases, allocations were made without the technical studies which were needed for detailed cost estimates. This applies more to major projects involving construction than to other types of programmes.
"
213,"Therefore, as more data become available, adjustments will be necessary within the overall Plan total.
"
214,"Availability of Resources
"
215,"Money is not the only resources required for the implementation of the Third Plan.
"
216,"In addition, trained manpower, construction materials, and other resources are necessary.
"
217,"In view of the present state of limited scarce resources, it is necessary to exploit one of the existing projects to the maximum rather than merely constructing new projects.
"
218,"The nation’s production can be raised without investing any additional capital, if the available roads, bridges, schools, hospital and so forth are utilized fully.
"
219,"So, the present Plan has laid an emphasis upon the maintenance programme in order to have optimum benefit out of them.
"
220,"In Table 6, public sector expenditures are allocated among various departmental categories. The sector totals are the same as those given in column one of Table 5.
"
221,"Development Policy Plan programmes must be based upon plan objectives and the policies to be implemented in the several sectors.
"
222,"Theses policies reflect not only activities to be undertaken by government but also assistance and facilities to be made available to the private sector.
"
223,"This will help clarify the relationship between public and private components of the economy. Another purpose of governmental policy formulation is to eliminate barriers to successful development.
"
224,"The programmes incorporated in the Plan are based upon certain principles and polices. The more important policies concerning agriculture, industry, trade and prices are discussed below:
"
225,"Industrial Policy
"
226,"Industrialization plays a vital role in accelerating economic development.
"
227,"His Majesty’s Government is committed to supporting further development of the industrial sector.
"
228,"Rather than getting involved in arguments about the relative roles of the private and public sectors. His Majesty’s Government has taken a pragmatic view.
"
229,"In order to promote the industrial development in the private sector, His Majesty’s Government will give special attention to available economic overheads such as transport and power. Government will provide financial and technical assistance to private development.
"
230,"Measures will be taken, however, to ensure that such development will be beneficial to the nation.
"
231,"Where the needs are greater that can be handled by the private sector, public sector units will be established. Because public resources are limited, they must be direct to such areas as roads, power and social services.
"
232,"Thus emphasis is placed upon private sector for development. Government will, however, provide necessary assistance.
"
233,"Some of the facilities and concessions presently available are:
"
234,"1. Income Tax Exemption- New industries are not subject to income tax for ten years after the commencement of business.
"
235,"Thereafter, exemption may be granted wholly or partially as considered desirable. 2. Export Duty Exemption- New and old firms undertaking exports may be gives full or partial import duty exemption for specified periods.
"
236,"3. Import Duty Exemption- Imports of machinery spare parts, and raw materials may be given full or partial import duty exemption for specified periods.
"
237,"4. Foreign Exchange - Foreign exchange will be made available to purchase machinery, spare parts and raw materials which are unavailable, or available in inadequate quantities in Nepal and for the remuneration of foreign technicians.
"
238,"6. Repatriation of Capital - Foreign investors making investments in scarce currency will be allowed to repatriate their investment.
"
239,"During any single year, such investors will be allowed foreign exchange for repatriation up to 25 per cent of their investment.
"
240,"7. Acquisition of Land and Timber- Assistance will be provided in land acquisition and timber needed for construction will be sold at a 15 per cent discount from the auction rate.
"
241,"For industries which are considered essential to Nepal, His Majesty’s Government will consider the provision of additional facilities as required.
"
242,"In addition, loans and technical assistance are available though the Nepal Industrial Development Corporation.
"
243,"Trade Policy
"
244,"In the modern age, no country can develop without trade relations with other countries.
"
245,"Developing nations must import technical skills and capital equipment.
"
246,"Development has, therefore, been associated historical with an increasing volume of trade. The limited market in a small country like Nepal indicates that industrial development will also depend upon exports.
"
247,"The present relatively low level of trade which Nepal has with other countries is a reflection of its low income level and underdevelopment.
"
248,"Steps will be taken during the Third Plan to expand and diversify trade. The main objectives of Nepal’s trade policy will be to increase the volume of exports, the variety of products exported and to diversify markets.
"
249,"Nepal’s imports are bound to rise in the years ahead as income levels rise and development activities expand.
"
250,"Recent trade data have yet to be tabulated and published.
"
251,"Therefore, estimates of import -export levels over the Third plan period cannot be formulated.
"
252,"However, it is apparent that export earnings must increase to finance the large volume of imports needed. Production of import substitutes alone will not meet the problem.
"
253,"Special attention will, therefore be given to export expansion.
"
254,"Export expansion hinges upon an increas e in the production of export item.
"
255,"Since Nepal’s exports consist mainly of agricultural products, especially food grains, an increase in agricultural production is essential.
"
256,"Just to increase the quantity of exports, however, will not be sufficient. The variety of goods exports must also be increased.
"
257,"Export dependence upon only a few agricultural products makes the nation overly subject to external price fluctuations.
"
258,"Efforts will also be made to diversify the direction of trade.
"
259,"At present Nepal’s trade is almost wholly with India and insignificant with other countries. With accelerated development, imports of machinery and construction materials from overseas will increase.
"
260,"To finance these purchases, increased exports outside of India are essential.
"
261,"To encourage this increase provision has been made for the exports to utilize a portion of the earning to import goods into Nepal.
"
262,"In addition, steps will be taken to make Nepalese products more competitive in the world market by reducing costs and ensuring quality standards.
"
263,"Imports into Nepal from overseas countries are subject to import licensing. This has been imposed to restrict the import of luxury goods.
"
264,"The available funds are needed to purchase essential development goods. Foreign exchange transaction with overseas countries will continue to be subject to licensing during the Third Plan.
"
265,"Changes will be made in customs tariffs as required to restrict luxury good imports.
"
266,"Policy will be implemented to ensure that export-import activities are primarily for the nations benefited.
"
267,"If necessary, export- import activities will also be undertaken by government.
"
268,"The National Trading Corporation will play an important role in this filed.
"
269,"The recently organized Food Corporation also has a significant role in this connection.
"
270,"Agricultural Policy
"
271,"The Plan has placed primary emphasis upon the accelerated development of agriculture. In the past, the absence of an overall programme for agriculture has hindered development.
"
272,"In the Third Plan, emphasis is placed upon an integrated agricultural development programme based upon specific objectives rather than piecemeal projects and programmes. There are two factors involved in agricultural development.
"
273,"The first in the expansion of agricultural output.
"
274,"The second is the transfer of human and capital resources from agriculture to other sectors.
"
275,"These two components are closely related.
"
276,"The expansion of agricultural output depends upon the adoption of new and improved agricultural techniques. The improvement of techniques will not only stimulate increased production but facilities the transfer of resources to other sectors.
"
277,"At present, the Nepalese economy is heavily based upon agriculture.
"
278,"In the long run, this dependence must be reduced as economic growth is historically associated with population depends on agriculture and 65 per cent of gross domestic products come from this sector, Nepal must depend heavily on this sector for the generation of additional savings.
"
279,"Because of the major differences in topography, soils and climate conditions in Nepal, no single pattern of agricultural activity is feasible.
"
280,"In the hills and mountain areas, cultivable land and irrigation facilities are limited by the terrain.
"
281,"Greater emphasis should therefore be placed on animal husbandry and fruit production.
"
282,"Food grains and cash crops are more suitable for the Terai.
"
283,"When the tempo of development activities expands and urbanization proceeds rapidly food grain demand will also rise.
"
284,"In the next few years, food grains will still be the primary export. Therefore, major emphasis will be given on the expansion of food grain production, because it can be raised in a short period of time with improved techniques.
"
285,"Cultivators must be given every incentive to increase output. Improved seeds, fertilizers and better implements need to be made available at the proper times and places and at reasonable prices.
"
286,"To meet these requirements, an Agricultural Supply Corporation will be established.
"
287,"Cultivators will also need credit to purchase the required inputs.
"
288,"New cooperative societies will be established and existing ones will be strengthened to provide production loans.
"
289,"The Cooperative Bank will make funds available to these societies.
"
290,"Medium and long term loans to individual cultivators will also be made available. An agricultural Bank also will be established to provide loans to individual cultivators at low interest rate.
"
291,"The agricultural extension programme will be expanded and further strengthened. The land reform programme designed to protect tenancy rights and to prevent exploitation by landlords, merchants and money lenders will be completed during the Third Plan.
"
292,"Prices received by the cultivators will affect their willingness to apply more modern techniques. Steps will be taken to ensure incentive price and to improve marketing efficiency.
"
293,"Landlords who do not cultivate their own lands will be encouraged to put their resources to the industrial sector.
"
294,"To reduce the pressure of population on land in the hill regions, some of the present population will be resettled in the Terai and Inner Terai.
"
295,"Efforts will be made to encourage the movement of labour from agriculture to the construction and industrial sectors.
"
296,"Price Policy
"
297,"Over the past few years, consumer goods prices have been rising. The experience of other developing nations indicates that prices tend to rise in the process of development.
"
298,"However, a rapid rate of increase will adversely affect development effort by hitting fixed income groups and stimulating speculative rather that productive use of saving.
"
299,"And, it will be more difficult to achieve the Plan targets due to the rise in the costs.
"
300,"Every effort will therefore, be made to maintain a stable price level, particularly for construction materials and daily necessities.
"
301,"The following are a list of factors responsible for rising in Nepal:
"
302,"1. Due to rising development expenditures, Government expenditures during the Second Plan have more than doubled.
"
303,"In a low income country like Nepal, a large par of any increase in income is spent on the purchase of food and other essential consumer goods.
"
304,"This tends to push the prices of these goods upward.
"
305,"Prices are also under pressure due to increasing population.
"
306,"2. Because of the open border with India, Indian prices, particularly of food grains, affect prices in Nepal.
"
307,"Indian food prices have been rising rapidly over the past few years.
"
308,"In addition, since most consumer goods are imported from India, inflationary pressures in India affect the prices of these goods in Nepal.
"
309,"3. Because of underdeveloped transport, isolated areas may suffer shortages and price increase although the nation as s whole has a surplus.
"
310,"4. The rapid expansion of money supply in Nepal is another factor.
"
311,"An increase in money supply is necessary to accommodate increased output and the monetization of the economy but the present rate of expansion is in excess of the rate required for the above purposes.
"
312,"Money supply has almost doubted over the Three Year Plan period.
"
313,"To s tabilize prices within the plan period the following measures will be taken:
"
314,"Regional Development Policy Accelerated economic development requires the implementation of proper policies and institutional improvements on a national scale.
"
315,"Geographic concentration of Plan activities will not necessarily be conductive to overall national development.
"
316,"Development should take into account regionally available resources and productive factors.
"
317,"The natural and human resources available in the several regions of Nepal vary both in variety and quantity.
"
318,"Even those natural resources which have been located and identified differ in accessibility and case of development.
"
319,"Other cooperating factors are also required.
"
320,"For example transport, communication, power and trained personnel are required for the development of available natural resources.
"
321,"On this basis, Nepal can be divided into three regions: the Karnali, the Koshi, and the Gandak-Bagmati river basins.
"
322,"At present, development activities are centered in the Gandk-Bagmati region. However, there are a number of development activities underway in theKoshi region. The Karnli region is in the preliminary stage of development.
"
