,0
13,"हाल चलिरहेको वातावरणीय अभियानअन्तर्गत यस पवित्र नदीलाई सफा गर्न समाजका हरेक क्षेत्रबाट मानिसहरू एक जूट भएर ओइरिएका छन् बागमती नदीको पूलमुनि स्थापना गरिएका सेता पुतलीहरू
"
14,"उनीहरुले आफ्ना फोटो ह्याशट्याग  सहित अनलाइनमा सेयर गरे। यसको उद्देश्य चाही ""फेयर"" (छाला गोरो बनाउने नाम चलेको फेयर एण्ड लभ्ली क्रीम) यानिकि गोरो भनेकै सुन्दर हो भन्ने अवधारणालाई चुनौती दिनु हो। 
"
15,"इतिहासमा नेपाल विदेशी यात्रीहरूका लागि सदैव रहस्यमयी देशका रुपमा रहिआएको छ। विश्वका सर्वोच्च हिमालहरू रहेका अग्ला हिमालय, दुर्लभ रीतिरिवाजयुक्त मध्य पहाड तथा उपत्यकाहरू, तथा घना जंगल र जंगली जनावरहरू भएका दक्षिणी समथर भूभागले जिज्ञासु पर्यटकहरूलाई सदैव यस भूपरिवेष्ठित मुलुकतर्फ आकर्षित गर्ने गरेका छन्। 
"
16,"रोग फैलिने डर र गर्भाशयमै रहेका बच्चाहरुमा यसबाट हुने खतराका कारण विभिन्न देशहरुले यात्रा परामर्श जारी गरिरहेका छन्। विभिन्न प्रादेशिक प्रान्तको मुख्य आर्थिक आधार पर्यटन भएको हुनाले यसले गर्दा क्यारेबियनको पर्यटनमा गम्भीर नकरात्मक असर पार्न सक्दछ। हाल यस भाइरसका लागि कुनै उपचार तथा खोप उपलब्ध छैन। 
"
17,"स्थानीय वासिन्दाका अनुसार, हरेक वर्ष मध्य अप्रिलमा फुल्ने सुनगाभा उनीहरुको प्रेमको प्रतीक मानिन्छ। 
"
18,"दुईवटा ट्वीटर अकाउन्ट एशियामा दोश्रो विश्वयुद्ध बेलाका ज्ञानवर्धक फोटोहरूका निरन्तर श्रोत रहेका छन्
"
19,"जागरुक जनतालाई सबै ठिकठाक थियो भन्ने कुरा विश्वस्त पार्नको लागि दक्षिण कोस्टको फोहोर पानीमा नुहाउने सरकारका मन्त्रीहरू रिचर्ड सिली र जोन बोयसका निर्णयले हामीमध्ये धेरैलाई हतप्रभ बनायो। 
"
20,"""एउटा कोठामा कसरी बसिरहेका छौ?"" 
"
21,"सबैले विवाह मन पराउँछन्, र यदि तपाईं खाना प्रेमी हुनुहुन्छ भने बंगलादेशी विवाहमा उपस्थित हुने मौका गुमाउन चाहनु हुने छैन। बंगालीहरुका खाना प्रतिको लगावलाई हेर्दा उनीहरूले वैवाहिक समारोहमा थप मेहनत गर्नेमा कुनै आश्चर्य मान्नु पर्दैन। 
"
22,"धेरै विद्यार्थीहरूलाई जारा एक महत्वपूर्ण फिलिपिनो वैज्ञानिक हुन् भन्ने थाहा छ तर केहीलाई मात्रै याद छ कि भिडियोफोन भनेर हामीले चिनेको यन्त्र (ग्याजेट)को प्रारम्भिक नमुना जाराको आविष्कारहरूमध्ये एक थियो। 
"
23,"गत वर्ष हामीले मार्चसम्म त्यहाँको पानी प्रयोग गरेका थियौं
"
24,"रिक्शा कलाकारिता
"
25,"जीभी: परन्तु के तपाई सोच्नुहुन्छ कि हामी त्यस दिनको नजिक छौं जब हामी ती वातावरणमा रहन सक्छौं? 
"
26,"तथापि यदि तपाईंले गुणस्तरीय सामग्रीका लागि सीमित स्क्रीन समय तोक्नु भयो भने, विशेषज्ञका अनुसार बालबालिकाले केही राम्रा सीप सिक्नसक्छन्
"
27,"ग्रेटर साओ पाउलोको पोआमा रहेको काल्मोन भियाना छिमेकको अरेलियो फुगा चोकमा यो भित्तेचित्र देख्न सकिन्छ। 
"
28,"नेपालको दक्षिणी समथर भाग कृषिका लागि मात्र नभई घना जंगल तथा धेरै किसिमका जनावरहरूका लागि पनि प्रसिद्ध छ
"
29,"पत्रकारहरुको छाता संगठन (स्पेनिशमा एसएनटीपी) ले बतायो कि लुइस कार्लोस बोलिभियन गुप्तचर बल (सेबिन) द्वारा हिरासतमा लिइएको छ: 
"
30,"उनी फोन कलको जवाफ दिइरहेका छैनन् 
"
31,"एर्रावाडीका फोटोग्राफर ज ज जनवरी १०, २०१६ का दिन बिहानै म्याण्डले डाँडाको टुप्पामा गई उदाउँदो सूर्यको प्रतीक्षा गर्दै बसे
"
32,"ग्लोबल भ्वाइसेजसँगको छोटो कुराकानीमा उनले भने:
"
33,"@sanchayan @hankypantyम चुचु टिभी सरप्राइज सुन्छु!! आफ्ना दुःस्वप्नहरूमा पनि
"
34,"१३ मार्च २०१८ मा, भारतीय प्रधानमन्त्री नरेंद्र मोदीले सन् २०२५ सम्म भारतबाट टीबी हटाउन महत्वाकांक्षी अभियान शुभारम्भ गर्नु भयो । विश्वव्यापी निर्धारित मिति भने सन् २०३० सम्म हो । 
"
35,"अन्तमा ज्ञानी मैयाले हामीलाई अन्नको ढुकुटी देखाइन्। 
"
36,"त्यतिबेला काठमाडौंको मुटुमा रहेको दरबार स्क्वायर जाने केही वाहनहरूमात्र गुड्ने नयाँ सडक साच्चिकै नयाँ थियो। 
"
37,"मालागासी वेबमा आक्रोश तीव्र थियो
"
38,"""पूर्व सुम्बामा अहिले हामीसँग हरेक प्रकारको नवीकरणीय ऊर्जा छ। हामीसँग सौर्य, हावा, पानी र बायोग्यास छ,"" दोभाषेको सहयोगमा पूर्व सुम्बाका स्थानीय सरकारका ऊर्जा र खानी विभाग प्रमुख डनिएल लालुपन्डा भन्छन्। 
"
39,"विशेष गरी, संयुक्तराज्य अमेरिकाको यथार्थ इतिहास बारे केही पनि थाहा पाइराख्नु पर्दैन। 
"
40,"थ्री-स्पट ग्रास एल्लोको समूह। फोटो सुशील श्रेष्ठ। अनुमतिमा प्रयोग गरिएको। 
"
41,"अनुमति लिएर प्रयोग गरिएको फेसबूकमा उनले थपे: हिजो मैले हारवर्डको सिजिआइएस भवन (सेन्टर फर गभर्नमेन्ट एण्ड इन्टरनेशनल स्टडिज) मा सेता पुतली स्थापना गरी सकाए
"
42,"सन् २०१५ मा इजिप्टका जनसंख्या मन्त्री हाला युसेफले त्यहाँ भएका विवाहमध्ये १५% बाल विवाह रहेको बताए। सन् २००८ मा विवाहका लागि उमेरको हद बढाएर १८ पुर्याइएको भए पनि यो देशभरि खास गरी गरीब क्षेत्रहरूमा व्याप्त रही आएको छ। 
"
43,"उनका भ्रमणहरूले आफ्नो जन्मस्थलको सुन्दरतामा रमाउँदै गर्दा उनलाई बाल्यकालको स्मरण ताजा गरायो। 
"
44,"रणजित वारियर (आर डब्लु): म अहिले प्रयोगशाला परीक्षणको साथ जाम्बियन राष्ट्रिय एआरटी कार्यक्रमलाई सहयोग गर्दै कार्यान्वयन गर्ने काम गर्दैछु। म भरखरै एचआईभी, टीबी, र सूक्ष्मजीवद्वारा हुने सरोकारका अन्य रोगका लागि अणुसंबन्धी निदानकारी विकासमा अनुसन्धान कार्यक्रम शुरू गर्दैछु। 
"
45,"शब्दहरू पहिले नै बढाइचढाइ गरिएका हुनाले (कुनै पनि तरिकाले राष्ट्रपतिको शब्दहरू अनुवाद गर्न), ""निराशाजनक देश"" भन्ने अभिप्राय त थिएन? 
"
46,"तीमध्ये अधिकांश राष्ट्रिय भू-भागको उत्तरबाट दक्षिणसम्म पहिले नै निर्धारित तथा औपचारिक रूपमा संघीय सरकारद्वारा पहिचान गरिएका ७१५ आदिवासी भूमिमा अवस्थित कैयौं गाउँहरूमा छरिएका छन्। आदिवासी भूमिको ८०० भन्दा धेरै मामिला व्यवस्थापनको पर्खाइमा छन्। 
"
47,"एनबि: के तपाईं इजिप्टमा महिलालाई जिस्काइने वा महिला उत्पीडनका बारेमा थप केही भन्नुहुन्छ? 
"
48,"हावाबाट चल्ने बेग्लै किसिमको टर्बाइन 
"
49,"संचार माध्यमहरूले ल्याटिन अमेरिकामा भएका वैज्ञानिक प्रगतिहरूका बारे कति लेख्छन् ? अनलाइन प्रोजेक्ट सिएन्सिया ल्याटिना ( ""ल्याटिन साईन्स"" ) का ब्लगरहरु भन्छन् यो पर्याप्त छैन। अन्तर्राष्ट्रिय संचार माध्यममा जस्तै क्षेत्रीय स्तरमा पनि विश्वमा ल्याटिन अमेरिकाको वैज्ञानिक प्रगतिका सम्बन्धमा आफ्नो उपस्थिति अझै पनि सीमित छ। भ्रष्टाचार र सरकार परिवर्तनका समाचार प्रशस्त भए पनि हालै चिलीका खगोलविदहरुले गरेका अवलोकन, वा युकातान, मेक्सिकोमा गरिएको अध्ययन जसले हामीलाई डायनासोर लोप हुनुको कारणहरू बारे जान्न नजिक ल्याइरहेको बारेमा तपाईं खासै केही सुन्न पाउनु हुन्न। 
"
50,"पेशावरमा रहेको वाल अफ काइन्डनेस
"
51,"यस साझा साँस्कृतिक प्रथाको प्रवर्धन गर्ने उद्देश्यले म्यासेडोनिया, बुल्गेरिया, रोमानिया र सर्बियाका चार वटा संगठन र साँस्कृतिक प्रतिष्ठानहरुले ""ह्याप्पी ग्रान्डमा मार्च डे २०१६"" परियोजना प्रारम्भ गरेका छन्
"
52,"जयरमणका अनुसार या परियोजना अविवेकपूर्ण मात्र नभएर यसले सार्वजनिक जलश्रोतमाथि कर्पोरेट नियन्त्रण निम्त्याउन सक्नेछ: 
"
53,"स्पेनिश-भाषाको वेबसाइट सोपितासले समानान्तर ब्रह्माण्डहरूको सम्भावित अस्तित्व बारे रोचक विङ्क प्रयोग गर्दै यस्तै समाचारहरू प्रकाशित गर्यो: 
"
54,"तपाईं विश्वास गर्नुहुन्छ, हाम्रो देशमा ५ करोड महिलाहरु महिनावारी भईरहेका हुनसक्छन्। तर केवल दुई या तीन महिला स्यानिटरी उत्पादनहरु मात्र ""बंगलादेशमा बनेका"" छन् साथै गुणस्तरीय छैनन्! कस्को लापरवाही हो यो? 
"
55,"केफाको कथाले अफ्रिका, ल्याटिन अमेरिका र एसियाका थुप्रै साना किसानहरूलाई प्रभाव पार्नेछ । 
"
56,"अबु नासेरले २०० वर्गमीटर (२,००० वर्गफूट) को सुक्ष्म कृषिक्षेत्र बनाएका छन्। यहाँ उनले हाइड्रोपोनिक प्रणाली अपनाएका छन् र लसुन, मरीच, साबुन आदिले घरमै बनाइएका कीट नियन्त्रक घोलहरू प्रयोग गरेका छन्। 
"
57,"एएनयु लाइब्रेरीले ती फोटोहरूका क्याप्शन प्रदान गरेको छ
"
58,"शेर्पा माउन्टेन गाइड कामीरिता शेर्पाले विश्वको सर्वोच्च शिखर सगरमाथा चुचुरोमा २२ औं पटक पाइला टेक्दै २१ औं पटक आरोहण गरिसकेका आरोहीहरू आप्पा शेर्पा र फुर्बा तासी शेर्पालाई पछि पारेका छन्। यो विश्व कीर्तिमान हो। 
"
59,"१ - रूसी झण्डा हाम्रो उपग्रहमा के गर्दैछ? 
"
60,"स्वतन्त्र फोटोग्राफर सुशील श्रेष्ठले नेपालको समथर भागदेखि माथिल्लो मुस्ताङको ३८१० मीटरको उंचाइमा समेत पाइने १५० भन्दा बढी प्रजातिका तस्वीर खिंचेका छन्। 
"
61,"तर छिमेकी र परिवारका सदस्यहरूले उनीहरुका संगीत प्रतिको झुकावलाई अनुचित सम्झे र अन्ततः जंजीबारको परम्परामा जस्तै उनको परिवारले विवाह गर्न र बाल बच्चा जन्माउन प्रेरित गरे। जंजीबार, एक द्वीपसमूह जहाँ अधिकांश परिवारले रूढिवादी इस्लामीक रीति रिवाज अनुसरण गर्दछन्: 
"
62,"एक स्थानीय रनिङ क्लबमा बालिकाहरु किन उनीहरु दौडन मन पराउँछन् भनेर मलाई सुनाउँछन्। उनीहरुको क्लबमा गएको दिन राईले उनीहरुलाई के भन्छिन् त? 
"
63,"यो मन्दिर भूकम्पले पूर्ण रुपमा ध्वस्त भएको थियो
"
64,"यद्यपि सरकारले कोठा तताउनका लागि प्रयोग हुने ऊर्जाको खपत कम गर्न जाडो विदा बढाउँदै विद्यालय तालिकामा नयाँ परिवर्तन ल्याएको छ, किर्गिजस्तानको दक्षिणी भेगको एक प्रयोगात्मक विद्यालयले ऊर्जा बचत गर्न भिन्दै पहल अपनाएको छ। 
"
65,"युट्यूब भिडियोको स्क्रीनशट। 
"
66,"म्यानमारको उच्चभूमि क्षेत्रहरुमा एल निन्योको असर
"
67,"उनले एक शिक्षक एवं नागरिक मिडिया क्षेत्र तथा स्वतन्त्र मिडिया परियोजना निर्माण संस्थापकको रूपमा पनि काम गरेका छन्। 
"
68,"रेवा राजदरबारका नृत्यांगना, पूर्वीय मध्य भारत, १८६३—८ जेकब एटलिङ्गको नक्काशी
"
69,"उनले लामो समय सम्म सोतोसँग भेनेजुएलाको राजनीति तथा मानव अधिकारमा केन्द्रित वेबमा आधारित भिडियो तथा रेडियो कार्यक्रम उत्पादन गरेका छन्। 
"
70,"मृत्यु दर र क्षति भयावह किन बन्यो भन्ने बारेमा प्रश्नहरु 
"
71,"पर्यटक मनोरञ्जनस्थल बारेमा भिडियोहरू अपलोड गर्ने व्यापारिक-प्रयोजनका अनेक च्यानलहरू विपरीत काप्पा२७००एसको फरक विशेषता छ: भिडियोको दृश्यबारे यसमा कुनै मौखिक वर्णन छैन। बरु, भिडियोले लोकप्रिय पर्यटकीय स्थलको वरिपरि शान्त वातावरणमा टहलने सुविधा प्रदान गर्दछ। 
"
72,"प्रयोग गरिएका किताब पाइने पसल, फुकुइ, जापान। फोटो नेभिन थम्पसन। 
"
73,"ओस्टाग्राम नामक रसियाली परियोजनाले इन्टरनेट प्रयोगकर्ताहरूलाई फोटो र चित्रकलालाई मिसाएर गजबका तस्वीर बनाउन सघाउँछ यी तस्वीरहरूलाई एलिस इन वन्डरल्याण्ड र साइ–फाइ स्पेस ओपेरामा राखे पनि अटाउनसक्छन्
"
74,"यो बहस चलिरहँदा, फोटोग्राफरहरु सुनिल शर्मा र अर्चना श्रेष्ठले खिंचेका तस्वीरहरुमा स्वस्थानी व्रतकथा र माधव नारायण पर्वका झलकहरु हेरौं। 
"
75,"@MonedasColombia को यो ट्वीटबाट लिइएको तस्वीर। 
"
76,"जब मैले आफूलाई चलचित्रको इतिहासमा तल्लीन राखें, मेरो ध्यान थर्ड सिनेमा , तर्फ केन्द्रित भयो - विश्वव्यापी सीमान्तकृत देशहरूबाट क्रांतिकारी फिल्म निर्माणका लागि अभियान जुन अफ्रीका, एसिया तथा ल्याटिन अमेरिकामा सन् १९६०-७० को दशकमा आरम्भ भएको थियो। 
"
77,"चित्र: लेखक। अनुमतिमा प्रयोग गरिएको। 
"
78,"पर्माकल्चर विधि प्रयोग गरेर उब्जाइएका तरकारी बोक्दै युवकहरु। फोटो सौजन्य: पर्माकल्चर इन कोमोवेन, अनुमति लिएर प्रयोग गरिएको। 
"
79,"सगरमाथा आरोही एलान आर्नेटले आफ्नो ब्लग सम्मीटस् डोन्ट म्याटर (आरोहणले फरक पार्दैन) मा देशको भलाईको कामना गरेका छन् कि यो फरक हुने थियो: 
"
80,"त्यसपछि मुख्य डोरीलाई नदी वारिपारि फिजाइन्छ।
"
81,"ZAINAB को लागि जस्टिस द्वारा साझा गरिएको एउटा पोष्ट 
"
82,"नेपालमा बुढाले देश चलाउछन्
"
83,"अन्तर्राष्ट्रिय संचार माध्यममा जस्तै क्षेत्रीय स्तरमा पनि विश्वमा ल्याटिन अमेरिकाको वैज्ञानिक प्रगतिका सम्बन्धमा आफ्नो उपस्थिति अझै पनि सीमित छ
"
84,"प्रणाली रहित हुनुपर्छ... 
"
85,"सन् १९८० ताका टेलिभिजन दुर्लभ थियो
"
86,"फ्लिकर प्रयोगकर्ता यान पर्सिएलद्वारा सेप्टेम्बर २२, २०१३ मा अपलोड गरिएको तस्वीर।  
"
87,"(तामा सिटी न्यूज) केइयो वाकाबादाइ स्टेशनमा गौंथलीको विष्ठा संकलनका लागि गुँडमुनि एउटा चारपाटे मंच जडान गरिएको छ। 
"
88,"तिनीहरु प्रकृतिमा फूल नफुलेसम्म लुगामा लगाइन्छन्, पिन गरिन्छन् अथवा नाडीमा बाँधिन्छन्, त्यसपछि रुखमा झुण्ड्याइन्छन्
"
89,"वाउ भर्खरै कुनै ऐतिहासिक कुरा भएको छ मिस्र निवासी अपहरणकर्तालाई ""मानसिक असन्तुलन भएको"" घोषणा गरिएको छ, न कि ""मुस्लिम आतंकवादी""#First
"
90,"फोटोः ज ज / एर्रावाडी
"
91,"अप्रिलमा फुल्ने सुनगाभा हेर्न नेपाल र भारतका श्रद्धालुहरू किन ओइरिन्छन् 
"
92,"जेइ: पम्प-एन-स्प्रे निराशाले जन्माएको थियो: पानीको असुविधाको कारण हरेक रात बकेटमा नुहाउनुपर्ने झन्झट, त्यो ढाँड भाच्ने कामसँग म दशकौं अघि हजुरबुवाको खेतमा काम गर्दा परिचित भइसकेको थिए
"
93,"प्रिय तान्जानियन चलचित्र प्रेमीहरू स्थानीय चलचित्र उद्योगलाई तपाईहरूको साथ चाहिन्छ 
"
94,"जापानमा हिउँद शुरू भएको छ। 
"
95,"दिल्ली सरकारले नोवेम्बर १३ - १७ मा बिहान ८ बजेदेखि राति ८ बजेसम्म देशको राजधानीमा पुन: लागू गर्ने प्रणाली जोर बिजोर प्रणाली ट्राफिक नियम को निर्णय गरेको छ। यस नियम अन्तर्गत, नीजि सवारी साधनहरू तिनीहरुको इजाजतपत्र प्लेटको अन्तिम नम्बरको आधारमा गूड्न अनुमति पाउछन्। 
"
96,"इतिहासमा पर्खाल सदैव वियोग, अलगाव र विभाजनको प्रतीक रही आएको छ। तर, वाल अफ काइन्डनेस (दीवार–ए–मेहरबानी ) नामक अभियानले ठीक त्यसको विपरित गर्दैछ। जाडोको मौसममा इरानीहरूले घरबारविहिन तथा अभावग्रस्तका लागि ""वाल अफ काइन्डनेस"" बनाई परोपकारी अभियान संचालन गरेका छन्। 
"
97,"३७७ एकपक्षीय छ। 
"
98,"ब्यालिस्टिक मिसाइलको प्रक्षेपण। फोटोः अमूर्त कथाहरू / भिकोन्ताक्ते 
"
99,"सगरमाथा आरोहणको सुअवसर प्राप्त गर्न आरोहीहरूले तिरेको ठुलो धनराशीको तुलनामा शेर्पाहरूलाई आफ्नो विशेषज्ञताको लागि नाम मात्रको भुक्तानी गरिन्छ - पैसाको ठुलो हिस्सा टुर कम्पनी र नेपाल सरकार बीच भागबण्डा हुन्छ। 
"
100,"क्लेरेन्डोनस्थित ग्रीन नदीको अर्को पुल खतरामा। यस पुलले फ्रेन्कफिल्ड र दक्षिणी भागहरु जस्तै मे पेन लाई जोड्दछ। 
"
101,"साइन बोर्ड: स्वागत छ गौंथलीहरू! ट्वीट: गौंथलीहरू आएर यहाँ बसून् भन्ने चाहनाका साथ हामीले यो गुँड तथा पोस्टर बनाएका हौं, अवश्य पनि उनीहरूले यहाँ बस्ने निर्णय गरून्! गौंथलीहरूले हाम्रो स्टोरको प्रवेशद्वारनिर गुँड लगाएका छन्, तपाईं यहाँबाट जादा एक पटक त्यतातिर हेर्नुहोला! 
"
102,"जार्डेम ब्रिटानिया स्कूलका पर्खालहरू
"
103,"यहाँ त मौसमबाट पनि कुनै बचाव छैन
"
104,"यो धेरै वर्षअगाडि ढाकामा सम्पन्न विवाहको दृश्य थियो। 
"
105,"क्याफेमा सांगीतिक प्रस्तुति हुनुभन्दा अगाडि नै मैले मोजाम्बिकमा जन्मेका संगीतकार देओदातो सिकिरलाई मित्र बनाएँ
"
106,"डिजिटल पत्रकार लुइस कार्लोस दिया भेनेजुएलामा हराइरहेका छन् 
"
107,"धेरैजसो घरहरूमा पंखाजस्ता चिसो पार्ने उपकरण चलाउनका लागि बिजुली हुँदैन एक सामाजिक उद्यमले यस समस्याकालागि कम खर्च लाग्ने समाधान सुझाएको छ
"
108,"उनी डिनोटिफाइड एण्ड नोटिफाइड ट्राइबल राइट्स एक्शन ग्रुपका संस्थापकमध्ये एक थिइन्
"
109,"एल निन्योको कारण बढ्दो तापमानको सामना गर्दै म्यानमारका बासिन्दाहरु 
"
110,"मैले श्रीषालाई उनको दिमागमा के चलिरहेको छ भन्ने प्रश्न सोध्दा उनको उत्तर सिधा रहेको छ। 
"
111,"दिल्लीमा बस्ने द टेलिग्राफका सम्पादक शंकर्षण ठाकूरले ट्वीट गरे:
"
112,"भासिल्का दिमित्रोभ्स्का, HAEMUS - सेन्टर फर साइन्टिफिक रिसर्च एण्ड प्रोमोशन अफ कल्चरको सह-संस्थापक हुनुहुन्छ, जुन ह्याप्पी ग्रान्डमा मार्च डे २०१६ को एक प्रायोजक हो। 
"
113,"कोपेनहेगनमा सात वर्ष सहित उनी १५ वर्षदेखि स्केन्डिनावियामा बसेका छन् - उनले साथी र सहयोगीहरुको एउटा ठूलो समूह बनाएका छन्
"
114,"कुनै गड्बडी नभएसम्म किलिमान्जरो आरोहणको मात्रै अनुभव भएका मानिसहरुले पनि विशेस अनुभवको दावी गर्नेछन्। 
"
115,"यी पुतलीहरूले संसारभर यात्रा गरेका छन् र ती स्थानमा व्यापक रुपमा यिनका फोटो खिंचिएका छन्। 
"
116,"गत वर्ष, प्रधानमन्त्रीले सुझाव दिए कि त्यसको लागिअर्को स्थान हुन सक्छ, तर अहिलेसम्म यसको पुष्टि हुन सकेको छैन। 
"
117,"हिजो पौराणिक कथा झै लाग्यो। मैले एक महिला उनको एक महिना लामो स्वस्थानी व्रत गुफा भित्र गरिरहेकी देखें। 
"
118,"क्यारिबियन द्वीपसमूहको सबैभन्दा दक्षिणी टापुहरु त्रिनिडाड एन्ड टोबागोमा यस भाइरसले गर्दा राष्ट्रिय स्वास्थ्य संकटकाल घोषणा गरिएको छ। 
"
119,"स्थानीय समुदाय र सल्लाहकारहरूको संलग्नता (विशेष गरी जन स्वास्थ्य अनुसन्धानमा) एक परियोजनाको सफलताको लागि उत्साहजनक र महत्त्वपूर्ण छ। अनुसन्धान केन्द्रित गर्नुपर्ने केही क्षेत्रहरुमा - संक्रामक रोगको रोकथाम र उपचार, मानसिक स्वास्थ्य जागरूकता र उपचार, मातृ तथा बाल स्वास्थ्य र मृत्यु-दर रोकथाम, दिगो आर्थिक विकास र विदेशी तथा स्वदेशी रोजगारदाताद्वारा स्थानीयलाई कामको अवसर सिर्जना समावेश हुन/ पर्न सक्छ। स्थानीय सल्लाहकारहरू र विज्ञहरूका शिक्षण तथा सहयोगले अफ्रिकमा अनुसन्धानको विकासलाई प्रोत्साहन दिन सहयोग पुर्याउनेछ।
"
120,"जुलाई ९ सोमवार सम्ममा विपत्तिको आधिक्यलाई जापानी मौसम विज्ञान एजेन्सी (जेएमए) द्वारा आधिकारिक नाम दिइएको थियो: 
"
121,"अहवाज क्षेत्रको आसपास फलाहियेह, मुहमराह र अबादान जस्ता शहरहरुमा व्यापक मात्रामा लगाइएका खजूरको रूखका उत्पादन मध्य पूर्वभर प्रसिद्ध थियो, ती रुखहरुलाई या त जानीबुझी नष्ट गरियो या यत्तिकै सुकेर मर्न दिइयो। फलाहियेह दलदल भूमि र होर-अजिम दलदल भूमि लगभग पूर्ण रुपमा नष्ट भएका हुनाले, यस क्षेत्रको वनस्पति तथा जीव जन्तु पनि गम्भीर जोखिममा छन्। 
"
122,"उदाहरणका लागि उनमा पुतलीहरू ब्रशेल्सको एउटा पार्कलाई बचाउनका लागि एक जूट भएका बालबच्चा, वयस्क, बुढापाका तथा एक्टिभिष्टका साथ देखिएका थिए
"
123,"जून महिनामा ओसाकामा ५ जनाको ज्यान जाने गरीआएको भूकम्पको कारण रेकर्ड-तोड्ने तूफान र अतिशय बाढी एवं विनाशकारी आँधीले तीन महिनाको अवधिमा मुख्यतया पश्चिमी जापानलाई पटक पटक प्रभावित पार्यो। 
"
124,"बुगएवाले सम्पन्न गरेको शब्दकोश सन् २००९ मा आइनु कल्चरल सेन्टर (जसको आइनु भाषा फैलाउन समर्पित आफ्नै अनलाइन संसाधन छ) मा टोकियोस्थित आइनु समुदाय सदस्यहरु को एक समूहलाई प्रस्तुत गरियो
"
125,"प्रतिवेदन अनुसार, अहवाजको औसत वायु गुणस्तर सूचकांक ३७२ थियो - विश्वव्यापी औसत ७१-वा ""खतरनाक"" हो। ३०० भन्दा माथिको औसत परिमाणको सूचीमा एकमात्र शहर यो थियो। त्यस समयको अवस्था बारे विवरण दिँदै , अन्तर्राष्ट्रिय लोकतन्त्र-समर्थक संगठन, द अन प्रेजेन्टेड नेशनस एण्ड पिपल्स अर्गनाईजेसन (यूएनपीओ) ले लेख्यो “अहवाज क्षेत्र तथा आसपासका नदीको बहाव परिवर्तन, दलदल भूमि दोहन र तेल, पेट्रोकेमिकल, धातु, चिनी तथा कागज प्रोसेसिङ प्लान्टका परिणामस्वरुप मरुभूमिकरण हुँदै जानु यसका प्रमुख कारणहरु हुन्।” 
"
